datetime;Additional Energy Export;has_image
2024-02-13 06:30:00;0.0;False
2024-02-13 06:40:00;0.0;False
2024-02-13 06:50:00;0.0;False
2024-02-13 07:00:00;0.0;False
2024-02-13 07:10:00;0.0;False
2024-02-13 07:20:00;0.0;False
2024-02-13 07:30:00;0.0;False
2024-02-13 07:40:00;0.0;True
2024-02-13 07:50:00;0.3916666656732559;True
2024-02-13 08:00:00;1.1749999970197678;True
2024-02-13 08:10:00;32.56700000166893;True
2024-02-13 08:20:00;69.3793333346645;True
2024-02-13 08:30:00;111.61199999600647;True
2024-02-13 08:40:00;157.19333333025375;True
2024-02-13 08:50:00;197.62400000045696;True
2024-02-13 09:00:00;232.9040000066161;True
2024-02-13 09:10:00;287.1780000006159;True
2024-02-13 09:20:00;492.6043333311876;True
2024-02-13 09:30:00;849.1829999983311;True
2024-02-13 09:40:00;1302.422333334883;True
2024-02-13 09:50:00;1621.0793333351612;True
2024-02-13 10:00:00;1805.1539999991653;True
2024-02-13 10:10:00;1951.4039999991653;True
2024-02-13 10:20:00;2105.5113333314657;True
2024-02-13 10:30:00;2267.475999996066;True
2024-02-13 10:40:00;2346.758666669329;True
2024-02-13 10:50:00;2472.402000002563;True
2024-02-13 11:00:00;2644.405999995768;True
2024-02-13 11:10:00;2779.479333333671;True
2024-02-13 11:20:00;2550.8173333356776;True
2024-02-13 11:30:00;1958.420000001788;True
2024-02-13 11:40:00;2567.950666666031;True
2024-02-13 11:50:00;2722.5639999980726;True
2024-02-13 12:00:00;2422.259999997914;True
2024-02-13 12:10:00;1480.886666667958;True
2024-02-13 12:20:00;1001.124333334466;True
2024-02-13 12:30:00;982.972999997437;True
2024-02-13 12:40:00;1451.4469999993842;True
2024-02-13 12:50:00;1663.800666667521;True
2024-02-13 13:00:00;1620.0340000018475;True
2024-02-13 13:10:00;1301.2520000015695;True
2024-02-13 13:20:00;1110.0243333329756;True
2024-02-13 13:30:00;1046.350999996066;True
2024-02-13 13:40:00;1046.7943333337705;True
2024-02-13 13:50:00;1420.3886666670442;True
2024-02-13 14:00:00;2167.133999995888;True
2024-02-13 14:10:00;2204.3366666659717;True
2024-02-13 14:20:00;1682.6590000018475;True
2024-02-13 14:30:00;602.1010000035167;True
2024-02-13 14:40:00;1529.387000001967;True
2024-02-13 14:50:00;2132.213333333532;True
2024-02-13 15:00:00;2410.579999998212;True
2024-02-13 15:10:00;2233.706000000239;True
2024-02-13 15:20:00;2015.1186666662495;True
2024-02-13 15:30:00;1754.817999996245;True
2024-02-13 15:40:00;1817.57399999847;True
2024-02-13 15:50:00;1716.4123333344858;True
2024-02-13 16:00:00;1451.3330000042915;True
2024-02-13 16:10:00;1292.2943333337705;True
2024-02-13 16:20:00;1170.3986666649582;True
2024-02-13 16:30:00;1085.6459999978542;True
2024-02-13 16:40:00;481.7046666642031;True
2024-02-13 16:50:00;143.67533333351213;True
2024-02-13 17:00:00;71.55800000578165;True
2024-02-13 17:10:00;50.37799999862909;True
2024-02-13 17:20:00;27.39199999719858;True
2024-02-13 17:30:00;2.600000001490116;True
2024-02-13 17:40:00;0.866666667163372;True
2024-02-13 17:50:00;0.0;False
2024-02-13 18:00:00;0.0;False
2024-02-13 18:10:00;0.0;False
2024-02-13 18:20:00;0.0;False
2024-02-13 18:30:00;0.0;False
2024-02-13 18:40:00;0.0;False
2024-02-13 18:50:00;0.0;False
2024-02-13 19:00:00;0.0;False
2024-02-13 19:10:00;0.0;False
2024-02-13 19:20:00;0.0;False
2024-02-13 19:30:00;0.0;False
2024-02-13 19:40:00;0.0;False
2024-02-13 19:50:00;0.0;False
2024-02-13 20:00:00;0.0;False
2024-02-13 20:10:00;0.0;False
2024-02-13 20:20:00;0.0;False
2024-02-13 20:30:00;0.0;False
2024-02-13 20:40:00;0.0;False
2024-02-13 20:50:00;0.0;False
2024-02-13 21:00:00;0.0;False
2024-02-13 21:10:00;0.0;False
2024-02-13 21:20:00;0.0;False
2024-02-13 21:30:00;0.0;False
2024-02-13 21:40:00;0.0;False
2024-02-13 21:50:00;0.0;False
2024-02-13 22:00:00;0.0;False
2024-02-13 22:10:00;0.0;False
2024-02-13 22:20:00;0.0;False
2024-02-13 22:30:00;0.0;False
2024-02-13 22:40:00;0.0;False
2024-02-13 22:50:00;0.0;False
2024-02-13 23:00:00;0.0;False
2024-02-13 23:10:00;0.0;False
2024-02-13 23:20:00;0.0;False
2024-02-13 23:30:00;0.0;False
2024-02-13 23:40:00;0.0;False
2024-02-13 23:50:00;0.0;False
2024-02-14 00:00:00;0.0;False
2024-02-14 00:10:00;0.0;False
2024-02-14 00:20:00;0.0;False
2024-02-14 00:30:00;0.0;False
2024-02-14 00:40:00;0.0;False
2024-02-14 00:50:00;0.0;False
2024-02-14 01:00:00;0.0;False
2024-02-14 01:10:00;0.0;False
2024-02-14 01:20:00;0.0;False
2024-02-14 01:30:00;0.0;False
2024-02-14 01:40:00;0.0;False
2024-02-14 01:50:00;0.0;False
2024-02-14 02:00:00;0.0;False
2024-02-14 02:10:00;0.0;False
2024-02-14 02:20:00;0.0;False
2024-02-14 02:30:00;0.0;False
2024-02-14 02:40:00;0.0;False
2024-02-14 02:50:00;0.0;False
2024-02-14 03:00:00;0.0;False
2024-02-14 03:10:00;0.0;False
2024-02-14 03:20:00;0.0;False
2024-02-14 03:30:00;0.0;False
2024-02-14 03:40:00;0.0;False
2024-02-14 03:50:00;0.0;False
2024-02-14 04:00:00;0.0;False
2024-02-14 04:10:00;0.0;False
2024-02-14 04:20:00;0.0;False
2024-02-14 04:30:00;0.0;False
2024-02-14 04:40:00;0.0;False
2024-02-14 04:50:00;0.0;False
2024-02-14 05:00:00;0.0;False
2024-02-14 05:10:00;0.0;False
2024-02-14 05:20:00;0.0;False
