OBJECTID;Name;smart-me ID;Name des Smart-Me Zählers;Leistung in kWp;Modultyp;Leistung / Modul in Wp;Anzahl Module;Wechselrichterleistung in kVA;Fläche in m2;Link;Geo Point;Geo Shape
26;Broggepark;;;53.13;Axitec Axipremium X HC BLK;345;154;54.0;249;https://sgsw.solarlog-web.ch/62694.html;47.4104667145, 9.33439223382;"{""coordinates"": [[[9.33443367190454, 47.41035322457593], [9.334401160976086, 47.41039929763556], [9.334313572540927, 47.41037081680892], [9.334245685956606, 47.41046701894755], [9.334266955367584, 47.410473935943], [9.334227174373554, 47.41053031082028], [9.334355509491656, 47.4105720419176], [9.334378290767281, 47.41053975799706], [9.334468388197001, 47.41056905517703], [9.334539393732008, 47.41046843177039], [9.334501574658539, 47.41045613400956], [9.334547966354776, 47.410390390273726], [9.33443367190454, 47.41035322457593]]], ""type"": ""Polygon""}"
27;Unterwerk St.Gallen-Ost;4c08aacb-26b5-db27-a259-0868e8b5c00f;PV Martinsbruggstrasse 84 UW Ost;54.76;Longi Solar LR4-60 HIH;370;148;50.0;250;https://sgsw.solarlog-web.ch/62733.html;47.4396251238, 9.42102396426;"{""coordinates"": [[[9.420872592271751, 47.43949146423434], [9.420801028882979, 47.439552112221634], [9.420973950981882, 47.439650716924874], [9.421040155920034, 47.43968753931314], [9.421169671424424, 47.43975957572422], [9.421247585003979, 47.43969633782105], [9.420874662888492, 47.439489745963826], [9.420872592271751, 47.43949146423434]]], ""type"": ""Polygon""}"
34;Sturzeneggstrasse 38;7494694f-133e-f3b4-bd8e-9fe8c9ac40f5;PV Sturzeneggstrasse 38;35.64;Suntech STP270S;270;132;36.0;214;noch nicht vorhanden;;
5;Primarschule Schönenwegen;e209be02-6fdf-23d1-0fb6-366cbecf83ed;PV Zürcher Strasse 67;31.72;Atersa A-230P,Ja Solar Poly JAP6 60-260;230,260;131;26.8;214;https://sgsw.solarlog-web.ch/40468.html;47.417029401, 9.34987295013;"{""coordinates"": [[[9.34950385133174, 47.41692925719057], [9.349536152054405, 47.416943612844044], [9.350149258524029, 47.41721813957286], [9.350237200895412, 47.41712717606404], [9.349602065040068, 47.41684270316091], [9.34950385133174, 47.41692925719057]]], ""type"": ""Polygon""}"
6;Eishalle Lerchenfeld;;;380.16;Hanwha Q Cells Q.Peak Duo G7 330;330;1152;350.0;1843;https://sgsw.solarlog-web.ch/58811.html;47.4153588068, 9.3407480238;"{""coordinates"": [[[9.341311882490515, 47.41518521707318], [9.340710377762804, 47.41493925172973], [9.340184238992444, 47.41553254894957], [9.340785688024635, 47.415778310925994], [9.341143208524551, 47.41537519885013], [9.341168258944577, 47.41534698635401], [9.341311882490515, 47.41518521707318]]], ""type"": ""Polygon""}"
17;DGS Druckguss Systeme;;;669.12;SunTech HyPro STP 300S,SunTech HyPro STP 330S;300,330;2120;594.0;3470;https://sgsw.solarlog-web.ch/60195.html;47.406103501, 9.30007365848;"{""coordinates"": [[[9.300665621285447, 47.40670742758268], [9.300421257968575, 47.40618767762751], [9.300421889484234, 47.40618754144075], [9.30029321390463, 47.40591358768141], [9.300250216941858, 47.40582202827926], [9.300085584496369, 47.40547169579005], [9.299916034673002, 47.40550834510571], [9.299938108974478, 47.40555525838133], [9.299465362471368, 47.40565738377215], [9.299778892471856, 47.40632622133213], [9.30001283982298, 47.40627561589953], [9.300180890358126, 47.406633045365304], [9.300257727755957, 47.40679645568443], [9.300544702658312, 47.406733820796404], [9.300665621285447, 47.40670742758268]]], ""type"": ""Polygon""}"
19;Schläpfer Altmetall AG;;;928.8;SunTech HyPro STP 300S;300;3096;838.0;5067;https://sgsw.solarlog-web.ch/60132.html;47.4049134337, 9.29446568632;"{""coordinates"": [[[9.294733871191227, 47.40494461403898], [9.294657132608076, 47.40478197255781], [9.294197514982848, 47.40488217454624], [9.294274363160477, 47.405044949475744], [9.294733871191227, 47.40494461403898]]], ""type"": ""Polygon""}"
25;Broggepark;;;53.13;Axitec Axipremium X HC BLK;345;154;54.0;249;https://sgsw.solarlog-web.ch/62694.html;47.4104045933, 9.33491718171;"{""coordinates"": [[[9.334973935784392, 47.410531544911045], [9.335047573383196, 47.41042718997276], [9.335032397244765, 47.41042225542359], [9.335099108832713, 47.410327715280594], [9.334905529973819, 47.41026476968422], [9.334858423218625, 47.410331527602125], [9.334815764022428, 47.41031765648924], [9.33474455906143, 47.41041856408622], [9.334809204524223, 47.41043958500877], [9.33476524546579, 47.41050188113035], [9.334887965215072, 47.41054178603947], [9.334909887701272, 47.41051071916967], [9.334973935784392, 47.410531544911045]]], ""type"": ""Polygon""}"
28;Oberstufenschulhaus Zil;;;141.9;Axitec HC BLK AC-345MH;330;430;150.0;714;https://sgsw.solarlog-web.ch/62735.html;47.4451038609, 9.41012993068;"{""coordinates"": [[[9.410169181831147, 47.445350993847484], [9.410320836315735, 47.44531663103858], [9.41033508808772, 47.44534584325497], [9.410436156642024, 47.4453231838011], [9.410394099317049, 47.445236892127525], [9.410381525598009, 47.44523971590719], [9.410341737417436, 47.44515809111682], [9.410328650760386, 47.44516103093828], [9.410288821257312, 47.44507935256338], [9.410276075061764, 47.44508220612037], [9.410236314728968, 47.44500060842433], [9.410223477803545, 47.44500348993192], [9.410163407460505, 47.44488023137612], [9.410125789609685, 47.44488865538481], [9.41012048685455, 47.44488871856789], [9.410060567428458, 47.44488939900127], [9.410018941294823, 47.44488986558411], [9.41001783996028, 47.44484867869469], [9.409911274614773, 47.44484966836146], [9.409911358158102, 47.44485408389103], [9.409912643647248, 47.444917759698605], [9.409913276959534, 47.44493558096447], [9.409916304282053, 47.44502123340508], [9.409903090962512, 47.44502144968513], [9.40990612008166, 47.44510716577627], [9.409892577978749, 47.44510747743778], [9.40989666261835, 47.445198393205835], [9.410003307913936, 47.44519634098224], [9.410001519368214, 47.44515413125782], [9.410075019524761, 47.44515271572053], [9.410130437492935, 47.44526497864357], [9.410127162235415, 47.44526570949668], [9.410169181831147, 47.445350993847484]]], ""type"": ""Polygon""}"
29;Oberstufenschulhaus Zil;;;141.9;Axitec HC BLK AC-345MH;330;430;150.0;714;https://sgsw.solarlog-web.ch/62735.html;47.4444875947, 9.40977841708;"{""coordinates"": [[[9.410000887852556, 47.44462455848663], [9.409951440986056, 47.44458216239818], [9.409991982853162, 47.44456031063501], [9.409967209114242, 47.444539194586184], [9.409989589741228, 47.444527224953525], [9.409790543735532, 47.444358040447064], [9.409744027173499, 47.44431850989294], [9.40970262472034, 47.44434074511184], [9.409690119273279, 47.44433002695863], [9.409678676533186, 47.44433616914963], [9.409551478682243, 47.44440451874648], [9.409559433264072, 47.4444112569209], [9.409622123094483, 47.444464952078285], [9.4095802948399, 47.44448750983606], [9.409724351373805, 47.444610398109376], [9.4098049652891, 47.444566899943744], [9.40985146029157, 47.44460656639861], [9.409872523090048, 47.4446245250723], [9.409875122814482, 47.44462312227898], [9.409924726886139, 47.444665443000396], [9.40994406222433, 47.44465505541105], [9.410000887852556, 47.44462455848663]]], ""type"": ""Polygon""}"
31;Sonnmattstrasse 23;dad2e13e-76f6-87b8-2bef-c61fb75313a8;PV Sonnmattstrasse 23;33.475;SunTech HyPro STP 325S;325;103;30.0;174;https://sgsw.solarlog-web.ch/63795.html;47.406975942, 9.31446183282;"{""coordinates"": [[[9.31455415588959, 47.40707561573209], [9.314550919259615, 47.406981112747545], [9.314531847127839, 47.40698141308348], [9.31453119135766, 47.406962422608714], [9.314550263489469, 47.40696212227268], [9.31454685617961, 47.406862763845744], [9.314443289410478, 47.40686466982794], [9.314444378168627, 47.40689593400625], [9.314362014335153, 47.406897460614964], [9.314367057477158, 47.40704471765643], [9.314367137427233, 47.40704699266786], [9.31438382453195, 47.407046685644644], [9.314384781237724, 47.407074605292], [9.314384926764788, 47.40707874128709], [9.31455415588959, 47.40707561573209]]], ""type"": ""Polygon""}"
1;IKEA;;;202.4;Kyocera KW200GHT-2;200;1012;180.0;1428;https://sgsw.solarlog-web.ch/40464.html;47.4089957632, 9.30754692969;"{""coordinates"": [[[9.307943424967663, 47.40871240476968], [9.307195484068835, 47.408226239091064], [9.307197256444907, 47.40822498731561], [9.307142653248668, 47.40818944271778], [9.307140163118715, 47.408193243642955], [9.307141870816064, 47.40819433127171], [9.307041562236504, 47.40835638283904], [9.30698884460404, 47.408476757114755], [9.306927566026937, 47.40846917901506], [9.306648565469349, 47.40891215586815], [9.306701682852124, 47.40892700796647], [9.306534160526372, 47.40917475773635], [9.30769286597031, 47.40950594594038], [9.307734296058898, 47.40951760065825], [9.307776610829992, 47.409527651465105], [9.30781972066483, 47.40953606562752], [9.307862382398175, 47.409542589481006], [9.30790549304145, 47.40954757132743], [9.30794893164037, 47.40955099718978], [9.307993398080745, 47.40955257226132], [9.308037915061666, 47.40955249432862], [9.308082341341509, 47.40955076374166], [9.308126437636908, 47.40954715094216], [9.308170145368438, 47.40954178702413], [9.308213313913324, 47.40953469047183], [9.30825570888714, 47.40952592419727], [9.308297316875754, 47.40951550560369], [9.308337947972452, 47.4095034704155], [9.308377307379107, 47.40949020460161], [9.30841510400012, 47.40947497301836], [9.308451104257232, 47.409457861645485], [9.308476223651688, 47.40944299160717], [9.308499363899756, 47.40942670963339], [9.308520354674446, 47.40940913642778], [9.3085390412387, 47.40939040227373], [9.308555769612326, 47.409370561626275], [9.308569766361993, 47.4093497719995], [9.308580923779575, 47.409328205087895], [9.308589156451772, 47.4093060390293], [9.308594704236562, 47.40928402789649], [9.30859744834594, 47.409261775089625], [9.308597368569608, 47.40923944449989], [9.308594465495117, 47.40921720059151], [9.308586121981905, 47.40918839759538], [9.308573574316775, 47.4091603046329], [9.308556964425254, 47.40913320244321], [9.308545916518218, 47.409119377302815], [9.308533801213372, 47.409105969534686], [9.30852065811473, 47.40909301681303], [9.308503558338705, 47.40907860627098], [9.30848523975773, 47.40906490284504], [9.308465767457621, 47.40905195388967], [9.307943424967663, 47.40871240476968]]], ""type"": ""Polygon""}"
18;Schläpfer Altmetall AG;;;928.8;SunTech HyPro STP 300S;300;3096;838.0;5067;https://sgsw.solarlog-web.ch/60132.html;47.4053653873, 9.29339694446;"{""coordinates"": [[[9.293940812407246, 47.40512855955916], [9.293920632652716, 47.405084142915854], [9.293607932695581, 47.40514929805433], [9.292878121595807, 47.4053013801029], [9.292731059298982, 47.40533201655106], [9.292731374607628, 47.405332704791725], [9.292731646797183, 47.40533330305043], [9.292856478485671, 47.405607650153], [9.292874416943578, 47.40564708271965], [9.29314207537238, 47.40559100174346], [9.293506415881959, 47.405514663887786], [9.293908775789294, 47.40543035462605], [9.294063239305773, 47.405397995811605], [9.294060684497094, 47.40539237802316], [9.2940519861102, 47.405373228899144], [9.294038537432087, 47.405343621187896], [9.294027960667929, 47.4053203547609], [9.294009530831543, 47.405279778933895], [9.29397164079117, 47.405196394046136], [9.293940812407246, 47.40512855955916]]], ""type"": ""Polygon""}"
